image_name,category
images\roads_000.png,Roads
images\roads_001.png,Roads
images\roads_002.png,Roads
images\roads_003.png,Roads
images\roads_004.png,Roads
images\roads_005.png,Roads
images\roads_006.png,Roads
images\roads_007.png,Roads
images\roads_008.png,Roads
images\roads_009.png,Roads
images\roads_010.png,Roads
images\roads_011.png,Roads
images\roads_012.png,Roads
images\roads_013.png,Roads
images\roads_014.png,Roads
images\roads_015.png,Roads
images\roads_016.png,Roads
images\roads_017.png,Roads
images\roads_018.png,Roads
images\roads_019.png,Roads
images\roads_020.png,Roads
images\roads_021.png,Roads
images\roads_022.png,Roads
images\roads_023.png,Roads
images\roads_024.png,Roads
images\roads_025.png,Roads
images\roads_026.png,Roads
images\roads_027.png,Roads
images\roads_028.png,Roads
images\roads_029.png,Roads
images\roads_030.png,Roads
images\roads_031.png,Roads
images\roads_032.png,Roads
images\roads_033.png,Roads
images\roads_034.png,Roads
images\roads_035.png,Roads
images\roads_036.png,Roads
images\roads_037.png,Roads
images\roads_038.png,Roads
images\roads_039.png,Roads
images\roads_040.png,Roads
images\roads_041.png,Roads
images\roads_042.png,Roads
images\roads_043.png,Roads
images\roads_044.png,Roads
images\roads_045.png,Roads
images\roads_046.png,Roads
images\roads_047.png,Roads
images\roads_048.png,Roads
images\roads_049.png,Roads
images\water_000.png,Water
images\water_001.png,Water
images\water_002.png,Water
images\water_003.png,Water
images\water_004.png,Water
images\water_005.png,Water
images\water_006.png,Water
images\water_007.png,Water
images\water_008.png,Water
images\water_009.png,Water
images\water_010.png,Water
images\water_011.png,Water
images\water_012.png,Water
images\water_013.png,Water
images\water_014.png,Water
images\water_015.png,Water
images\water_016.png,Water
images\water_017.png,Water
images\water_018.png,Water
images\water_019.png,Water
images\water_020.png,Water
images\water_021.png,Water
images\water_022.png,Water
images\water_023.png,Water
images\water_024.png,Water
images\water_025.png,Water
images\water_026.png,Water
images\water_027.png,Water
images\water_028.png,Water
images\water_029.png,Water
images\water_030.png,Water
images\water_031.png,Water
images\water_032.png,Water
images\water_033.png,Water
images\water_034.png,Water
images\water_035.png,Water
images\water_036.png,Water
images\water_037.png,Water
images\water_038.png,Water
images\water_039.png,Water
images\water_040.png,Water
images\water_041.png,Water
images\water_042.png,Water
images\water_043.png,Water
images\water_044.png,Water
images\water_045.png,Water
images\water_046.png,Water
images\water_047.png,Water
images\water_048.png,Water
images\water_049.png,Water
images\electricity_000.png,Electricity
images\electricity_001.png,Electricity
images\electricity_002.png,Electricity
images\electricity_003.png,Electricity
images\electricity_004.png,Electricity
images\electricity_005.png,Electricity
images\electricity_006.png,Electricity
images\electricity_007.png,Electricity
images\electricity_008.png,Electricity
images\electricity_009.png,Electricity
images\electricity_010.png,Electricity
images\electricity_011.png,Electricity
images\electricity_012.png,Electricity
images\electricity_013.png,Electricity
images\electricity_014.png,Electricity
images\electricity_015.png,Electricity
images\electricity_016.png,Electricity
images\electricity_017.png,Electricity
images\electricity_018.png,Electricity
images\electricity_019.png,Electricity
images\electricity_020.png,Electricity
images\electricity_021.png,Electricity
images\electricity_022.png,Electricity
images\electricity_023.png,Electricity
images\electricity_024.png,Electricity
images\electricity_025.png,Electricity
images\electricity_026.png,Electricity
images\electricity_027.png,Electricity
images\electricity_028.png,Electricity
images\electricity_029.png,Electricity
images\electricity_030.png,Electricity
images\electricity_031.png,Electricity
images\electricity_032.png,Electricity
images\electricity_033.png,Electricity
images\electricity_034.png,Electricity
images\electricity_035.png,Electricity
images\electricity_036.png,Electricity
images\electricity_037.png,Electricity
images\electricity_038.png,Electricity
images\electricity_039.png,Electricity
images\electricity_040.png,Electricity
images\electricity_041.png,Electricity
images\electricity_042.png,Electricity
images\electricity_043.png,Electricity
images\electricity_044.png,Electricity
images\electricity_045.png,Electricity
images\electricity_046.png,Electricity
images\electricity_047.png,Electricity
images\electricity_048.png,Electricity
images\electricity_049.png,Electricity
images\waste_000.png,Waste
images\waste_001.png,Waste
images\waste_002.png,Waste
images\waste_003.png,Waste
images\waste_004.png,Waste
images\waste_005.png,Waste
images\waste_006.png,Waste
images\waste_007.png,Waste
images\waste_008.png,Waste
images\waste_009.png,Waste
images\waste_010.png,Waste
images\waste_011.png,Waste
images\waste_012.png,Waste
images\waste_013.png,Waste
images\waste_014.png,Waste
images\waste_015.png,Waste
images\waste_016.png,Waste
images\waste_017.png,Waste
images\waste_018.png,Waste
images\waste_019.png,Waste
images\waste_020.png,Waste
images\waste_021.png,Waste
images\waste_022.png,Waste
images\waste_023.png,Waste
images\waste_024.png,Waste
images\waste_025.png,Waste
images\waste_026.png,Waste
images\waste_027.png,Waste
images\waste_028.png,Waste
images\waste_029.png,Waste
images\waste_030.png,Waste
images\waste_031.png,Waste
images\waste_032.png,Waste
images\waste_033.png,Waste
images\waste_034.png,Waste
images\waste_035.png,Waste
images\waste_036.png,Waste
images\waste_037.png,Waste
images\waste_038.png,Waste
images\waste_039.png,Waste
images\waste_040.png,Waste
images\waste_041.png,Waste
images\waste_042.png,Waste
images\waste_043.png,Waste
images\waste_044.png,Waste
images\waste_045.png,Waste
images\waste_046.png,Waste
images\waste_047.png,Waste
images\waste_048.png,Waste
images\waste_049.png,Waste
images\safety_000.png,Safety
images\safety_001.png,Safety
images\safety_002.png,Safety
images\safety_003.png,Safety
images\safety_004.png,Safety
images\safety_005.png,Safety
images\safety_006.png,Safety
images\safety_007.png,Safety
images\safety_008.png,Safety
images\safety_009.png,Safety
images\safety_010.png,Safety
images\safety_011.png,Safety
images\safety_012.png,Safety
images\safety_013.png,Safety
images\safety_014.png,Safety
images\safety_015.png,Safety
images\safety_016.png,Safety
images\safety_017.png,Safety
images\safety_018.png,Safety
images\safety_019.png,Safety
images\safety_020.png,Safety
images\safety_021.png,Safety
images\safety_022.png,Safety
images\safety_023.png,Safety
images\safety_024.png,Safety
images\safety_025.png,Safety
images\safety_026.png,Safety
images\safety_027.png,Safety
images\safety_028.png,Safety
images\safety_029.png,Safety
images\safety_030.png,Safety
images\safety_031.png,Safety
images\safety_032.png,Safety
images\safety_033.png,Safety
images\safety_034.png,Safety
images\safety_035.png,Safety
images\safety_036.png,Safety
images\safety_037.png,Safety
images\safety_038.png,Safety
images\safety_039.png,Safety
images\safety_040.png,Safety
images\safety_041.png,Safety
images\safety_042.png,Safety
images\safety_043.png,Safety
images\safety_044.png,Safety
images\safety_045.png,Safety
images\safety_046.png,Safety
images\safety_047.png,Safety
images\safety_048.png,Safety
images\safety_049.png,Safety
images\other_000.png,Other
images\other_001.png,Other
images\other_002.png,Other
images\other_003.png,Other
images\other_004.png,Other
images\other_005.png,Other
images\other_006.png,Other
images\other_007.png,Other
images\other_008.png,Other
images\other_009.png,Other
images\other_010.png,Other
images\other_011.png,Other
images\other_012.png,Other
images\other_013.png,Other
images\other_014.png,Other
images\other_015.png,Other
images\other_016.png,Other
images\other_017.png,Other
images\other_018.png,Other
images\other_019.png,Other
images\other_020.png,Other
images\other_021.png,Other
images\other_022.png,Other
images\other_023.png,Other
images\other_024.png,Other
images\other_025.png,Other
images\other_026.png,Other
images\other_027.png,Other
images\other_028.png,Other
images\other_029.png,Other
images\other_030.png,Other
images\other_031.png,Other
images\other_032.png,Other
images\other_033.png,Other
images\other_034.png,Other
images\other_035.png,Other
images\other_036.png,Other
images\other_037.png,Other
images\other_038.png,Other
images\other_039.png,Other
images\other_040.png,Other
images\other_041.png,Other
images\other_042.png,Other
images\other_043.png,Other
images\other_044.png,Other
images\other_045.png,Other
images\other_046.png,Other
images\other_047.png,Other
images\other_048.png,Other
images\other_049.png,Other
